flow_duration,protocol,TotPackets,TotBytes,tot_fwd_pkts,totlen_fwd_pkts,fwd_iat_mean,fwd_pkt_len_max,fwd_pkt_len_mean,tot_bwd_pkts,totlen_bwd_pkts,bwd_iat_mean,bwd_pkt_len_max,bwd_pkt_len_mean
0.141,17,2,192,1,60,0,60,88,1,76,0,76,104
1772.218,6,180,15480,120,69,14892,69,8940,60,69,30036,69,6540
1744.624,6,95,7203,63,38,28139,205,4476,32,33,56269,98,2727
0.26,6,15,4947,8,134,37,137,693,7,973,43,1448,4254
19.868,6,2397,2266079,1576,1361,12,1408,2218723,821,776,24,1408,47356
1793.521,17,66,2766,65,14,28023,14,2730,1,8,0,8,36
1786.112,6,117,13663,75,80,24136,503,5886,42,160,43561,1420,7777
1788.956,6,360,22818,209,69,8600,69,12569,151,69,11926,69,10249
5.396,6,549,464145,332,1330,15,1368,448197,217,776,23,1473,15948
1.437,6,47,18866,26,936,57,1460,13250,21,433,63,1460,5616
1.24,6,10,1102,6,483,248,483,803,4,83,410,83,299
1690.485,17,14,3843,7,30,281745,30,406,7,463,281745,463,3437
0.302,17,2,167,1,39,0,39,67,1,72,0,72,100
41.965,17,44,11396,44,231,975,388,11396,0,0,0,0,0
192.716,6,30,7432,13,158,16059,267,1317,17,543,12033,1400,6115
92.572,6,23,9877,11,295,68,579,1359,12,1146,8403,1460,8518
366.361,6,27,1767,18,177,21550,177,1181,9,110,8815,110,586
0.865,6,2,1235,1,0,0,0,40,1,1155,0,1155,1195
0.012,6,2,171,1,91,0,91,131,1,0,0,0,40
33.911,6,28,4939,14,154,2608,722,1807,14,480,2593,1448,3132
6.949,6,16,2370,10,210,771,210,972,6,545,1382,904,1398
16.698,6,20,2994,12,210,1508,210,1472,8,545,2309,904,1522
6.666,6,25,7097,12,155,606,267,1266,13,589,554,3426,5831
10.401,6,751,628252,455,1307,22,1368,608184,296,931,34,2736,20068
7.997,17,4,240,2,32,7997,32,120,2,32,7997,32,120
1791.796,6,404,32630,227,90,7928,1189,15678,177,138,10180,3457,16952
2.684,6,13,2311,8,188,383,245,700,5,1407,600,1407,1611
220.548,17,4,240,2,32,220547,32,120,2,32,220547,32,120
1794.084,17,144,11520,72,48,25268,48,5472,72,56,25268,56,6048
1798.977,17,449,39928,404,35,4463,288,25708,45,288,40022,288,14220
39.102,17,23,2012,12,48,3549,48,912,11,72,3513,72,1100
0.449,6,24,7956,13,335,36,668,2038,11,1067,44,1906,5918
125.547,2,2,64,2,8,125547,8,64,0,0,0,0,0
1797.496,1,342,28728,342,56,5271,56,28728,0,0,0,0,0
280.971,6,20,1443,11,31,28097,31,727,9,31,26888,31,716
2.02,17,2,134,2,39,2020,39,134,0,0,0,0,0
0.008,17,2,543,1,45,0,45,73,1,442,0,442,470
357.927,6,75,49600,46,1180,7953,1448,41362,29,746,2199,1448,8238
1787.907,6,354,22440,206,69,8721,69,12380,148,69,12162,69,10060
366.313,6,20,1355,15,177,26165,177,977,5,110,15160,110,378
0.148,17,4,284,2,32,79,32,120,2,54,70,60,164
34.518,6,38,8387,18,360,536,734,1834,20,441,1809,1440,6553
67.746,6,23,932,12,0,6157,0,484,11,0,6773,0,448
295.134,6,52,4334,21,97,14750,337,2298,31,53,9837,143,2036
15.9,1,4,426,4,78,5300,112,426,0,0,0,0,0
32.136,6,217,203842,75,125,434,299,4277,142,1392,227,1418,199565
5.529,6,42,7389,22,218,263,314,3503,20,440,277,1152,3886
72.243,6,32,10424,12,152,6567,267,1404,20,547,3791,1420,9020
55.653,17,4,304,4,48,18551,48,304,0,0,0,0,0
1789.118,17,142,11360,71,48,25558,48,5396,71,56,25558,56,5964
1773.206,6,183,15738,121,69,14776,69,8980,62,69,29065,69,6758
5.879,6,35,14650,18,480,345,928,4115,17,894,346,1460,10535
75.353,6,44,8863,20,367,806,787,1994,24,327,3268,1360,6869
0.346,6,24,4571,12,165,31,456,1446,12,415,29,888,3125
1797.763,6,363,25490,212,99,8520,469,14965,151,69,11984,69,10525
1.258,6,47,18275,26,891,50,1360,12659,21,476,54,2715,5616
280.636,6,34,8992,16,158,18709,267,1437,18,621,16505,1400,7555
8.69,6,1360,1157281,763,1427,11,1448,1119249,597,776,14,1448,38032
0.073,6,3,168,1,0,0,0,52,2,0,48,0,116
11.638,6,900,788386,565,1320,20,1368,764858,335,776,34,1473,23528
2.271,17,2,204,1,34,0,34,62,1,114,0,114,142
0.073,17,2,180,1,30,0,30,58,1,94,0,94,122
12.317,6,1889,1685292,1185,1368,10,1380,1650850,704,421,17,1923,34442
1792.685,17,72,3018,71,14,25609,14,2982,1,8,0,8,36
1772.209,6,102,9467,67,65,26851,65,5641,35,59,52120,59,3826
859.232,1,8,848,8,78,122747,78,848,0,0,0,0,0
